,Actual,Prediction,Error
2020-03-10,7909.7294921875,8166.0376,256.30810546875
2020-03-11,7911.43017578125,8033.903,122.47265625
2020-03-12,4970.7880859375,7985.962,3015.173828125
2020-03-13,5563.70703125,6158.008,594.30078125
2020-03-14,5200.3662109375,5806.595,606.22900390625
2020-03-15,5392.31494140625,5454.477,62.162109375
2020-03-16,5014.47998046875,5440.036,425.55615234375
2020-03-17,5225.62939453125,5205.4697,20.15966796875
2020-03-18,5238.4384765625,5244.667,6.228515625
2020-03-19,6191.19287109375,5269.306,921.88671875
2020-03-20,6198.7783203125,5865.703,333.0751953125
2020-03-21,6185.06640625,6104.086,80.98046875
2020-03-22,5830.2548828125,6185.8516,355.5966796875
2020-03-23,6416.31494140625,5996.666,419.64892578125
2020-03-24,6734.8037109375,6281.793,453.0107421875
2020-03-25,6681.06298828125,6590.2075,90.85546875
2020-03-26,6716.4404296875,6677.0283,39.412109375
2020-03-27,6469.79833984375,6730.8506,261.05224609375
2020-03-28,6242.19384765625,6598.871,356.67724609375
2020-03-29,5922.04296875,6406.26,484.216796875
2020-03-30,6429.841796875,6133.943,295.89892578125
2020-03-31,6438.64453125,6341.1997,97.44482421875
2020-04-01,6606.7763671875,6429.906,176.87060546875
2020-04-02,6793.62451171875,6568.064,225.560546875
2020-04-03,6733.38720703125,6736.8774,3.490234375
2020-04-04,6867.52734375,6765.1157,102.41162109375
2020-04-05,6791.12939453125,6857.467,66.33740234375
2020-04-06,7271.78125,6845.9517,425.82958984375
2020-04-07,7176.41455078125,7136.883,39.53173828125
2020-04-08,7334.0986328125,7192.053,142.04541015625
2020-04-09,7302.08935546875,7309.4233,7.333984375
2020-04-10,6865.4931640625,7334.8647,469.37158203125
2020-04-11,6859.0830078125,7075.3228,216.23974609375
2020-04-12,6971.091796875,6968.9956,2.09619140625
2020-04-13,6845.03759765625,6997.429,152.3916015625
2020-04-14,6842.427734375,6932.1597,89.73193359375
2020-04-15,6642.10986328125,6905.2646,263.15478515625
2020-04-16,7116.80419921875,6771.711,345.09326171875
2020-04-17,7096.1845703125,7011.974,84.21044921875
2020-04-18,7257.6650390625,7094.3677,163.29736328125
2020-04-19,7189.4248046875,7225.2065,35.78173828125
2020-04-20,6881.95849609375,7233.596,351.6376953125
2020-04-21,6880.3232421875,7046.563,166.23974609375
2020-04-22,7117.20751953125,6971.6753,145.5322265625
2020-04-23,7429.724609375,7089.0503,340.67431640625
2020-04-24,7550.90087890625,7328.4062,222.49462890625
2020-04-25,7569.93603515625,7496.81,73.1259765625
2020-04-26,7679.8671875,7573.2017,106.66552734375
2020-04-27,7795.60107421875,7669.5396,126.0615234375
2020-04-28,7807.05859375,7777.583,29.4755859375
2020-04-29,8801.0380859375,7826.256,974.7822265625
2020-04-30,8658.5537109375,8456.673,201.880859375
2020-05-01,8864.7666015625,8615.733,249.033203125
2020-05-02,8988.5966796875,8801.803,186.7939453125
2020-05-03,8897.46875,8949.109,51.640625
2020-05-04,8912.654296875,8949.049,36.39453125
